z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,AR
0.01176171875,0.86432654515198948,-1.1461126289997367e-146,368.12936211410369,1.1320319233456737,0.11852542908206748,1.0424429352896554e-06,1.1497744871604616e-06,0.1449915828699283,6.4754417617944153e-06,0.0046705148212424948,8.2654605668309951e-05,2.9792384790502828e-05,0.73169135857711876
0.011765625,0.87521136185028947,-1.1514949422050873e-146,373.08764064757531,1.117953093729295,0.11751201510279401,1.4299940704426295e-06,1.3267845756872514e-06,0.14498017028990406,7.9051869123222199e-06,0.0050736773375446333,9.1235985817627078e-05,3.1963788478877647e-05,0.73230027552990229
0.01176953125,0.88686076637968803,-1.1583928266882078e-146,378.38200407225639,1.1032681719134685,0.1164782984247546,1.9516407736688063e-06,1.536610550744551e-06,0.14495658898327171,9.6599193095999281e-06,0.0055078749696750142,0.00010044068489501143,3.4196583638955533e-05,0.73290945218313053
0.011773437500000001,0.89930821586860032,-1.1656605083137686e-146,384.0271662344843,1.087997690179035,0.11542470387174672,2.6485021053493418e-06,1.7857058481228009e-06,0.14491985354751089,1.1808334352210717e-05,0.0059746153462501422,0.00011022412128849793,3.6473590325210652e-05,0.73351788698057308
0.01177734375,0.91258554870785302,-1.1736286542705284e-146,390.03716196561805,1.0721682656452198,0.11435171218667742,3.5720457978215405e-06,2.0817031908102046e-06,0.14486898450109648,1.4429901287303152e-05,0.0064753556500586288,0.00012051634751058527,3.8774995106446434e-05,0.73412457266927467
0.01178125,0.92672240611817625,-1.1818060214846382e-146,396.42509545582089,1.0558126792703073,0.1132598573686652,4.7858956837239683e-06,2.4335670729927127e-06,0.14480301948996191,1.7614844386193068e-05,0.0070114834420973264,0.00013122020035663022,4.1078713640002075e-05,0.73472850647813603
0.01178515625,0.94174561217649977,-1.1867793004561816e-146,403.20286991559732,1.038969816817689,0.11214972321988848,6.3676993948633368e-06,2.8517431044503503e-06,0.14472102463167638,2.1463365501693738e-05,0.007584296723171925,0.00014221098295984675,4.3360919736300173e-05,0.73532870071456602
0.011789062499999999,0.95767852760199823,-1.1917482087314436e-146,410.38090509687606,1.02168445431507,0.11102193916191383,8.4109735322075423e-06,3.3482971306672783e-06,0.14462210561563693,2.6083890034341381e-05,0.0081949837456866768,0.00015333807524399424,4.5596723119445496e-05,0.73592419351770177
0.01179296875,0.97454039829331962,-1.1966045454721617e-146,417.96785173043736,1.0040068748411568,0.10987717541755442,1.1026819402326972e-05,3.9370369525691637e-06,0.14450541820918275,3.1590154347069028e-05,0.0088446032161659249,0.0001644287262003634,4.7760958339510793e-05,0.736514059461855
0.011796875,0.99234572506776941,-1.201325882640046e-146,425.97031432617194,0.9859923098964273,0.10871613768942537,1.4345380286485564e-05,4.6336106049452684e-06,0.14437017788908449,3.8097032654267248e-05,0.009534065638802703,0.0001752940612479251,4.9829029421302898e-05,0.73709741966847242
